Name,Score,Characters,Team,Total Played,Win %,Last Match
Paco,5227,Jigglypuff,Mt. Pleasant,139,56,10/6/2017
Paran,5202,Fox,Kalamazoo,31,58,8/1/2017
Danko,5193,Fox,Ann Arbor,68,55,9/27/2017
ADKnight,5174,Captain Falcon,Ann Arbor,27,59,10/13/2017
Mtndewgong,5157,Falco,,38,60,10/6/2017
Jackie,5153,Fox,Mt. Pleasant,172,51,10/6/2017
SilentShadow,5126,Marth,Lansing,53,58,10/13/2017
Sasha,5115,Pikachu,Ann Arbor,168,51,10/13/2017
sacredtwin,5115,Marth,Ann Arbor,97,54,10/6/2017
Lordy,5079,Captain Falcon,Ann Arbor,75,54,7/6/2017
DaNormZ,5041,Peach,Muskegon,119,53,10/6/2017
Pepsi,5019,Fox,Macomb,176,52,10/13/2017
Led Free,5002,Marth,Lansing,81,53,10/12/2017
Mr.Biz,4997,Sheik,Toledo,28,57,8/17/2017
Nyte,4986,Jigglypuff,Grand Rapids,139,56,10/13/2017
juiceboy,4981,Falco,Toledo,141,53,9/21/2017
Deep C. Squid,4957,Ganondorf,,46,58,10/6/2017
Calories,4943,Ice Climbers,Macomb,136,45,10/12/2017
Beckett,4939,Fox,Ann Arbor,235,48,10/13/2017
Pope,4932,,,11,63,7/27/2017
BigJoe,4906,Fox,Ann Arbor,111,51,10/13/2017
Astro,4904,Fox,Saginaw,108,49,10/12/2017
Lange,4900,Falco,Ann Arbor,55,54,10/6/2017
Pouch,4898,Falco,,58,53,8/4/2017
Yung Z,4896,Zelda,,73,46,9/29/2017
Egg,4888,Sheik,Howell,50,56,10/6/2017
Lakeside,4883,Marth,Muskegon,106,64,7/24/2017
Sudo,4857,Marth,Ann Arbor,122,50,10/7/2017
Zbet,4856,Falco,Kalamazoo,19,63,10/6/2017
Cdub,4840,Falco,Canton,36,55,10/6/2017
wrenches,4808,Fox,Milford,25,60,9/8/2017
Fancy,4807,Falco,Lansing,142,54,10/12/2017
Carnage,4806,Fox,Ann Arbor,30,60,10/6/2017
Train,4790,Falco,Ann Arbor,60,55,10/6/2017
Don Juan,4777,Sheik,Kalamazoo,84,50,10/6/2017
Kaiser,4763,,,29,65,3/10/2017
Lamb,4756,,,7,71,10/7/2017
N0b0dy,4741,Fox,,108,53,10/6/2017
Amac,4739,Peach,Toledo,142,44,10/6/2017
Noro,4733,Marth,Ann Arbor,108,47,9/12/2017
Luxy,4722,Marth,Ann Arbor,54,57,10/6/2017
Jasper,4705,Samus,,236,38,10/13/2017
Krump,4702,Captain Falcon,,77,48,10/6/2017
Bad Moon,4693,,,10,60,6/27/2017
Iron,4684,Falco,Dearborn,26,57,5/20/2017
Tuesday,4680,Peach,,34,55,7/18/2017
Apples,4679,Peach,Lansing,104,51,10/6/2017
Doctor Tropical,4676,Fox,Lansing,120,47,10/6/2017
SADwave,4672,,,118,54,8/14/2017
Koleslawing,4661,Jigglypuff,Lansing,168,50,10/12/2017
DankLouie,4659,Fox,Toledo,16,62,5/24/2017
Tard,4643,,,91,52,9/14/2017
Yono,4640,Captain Falcon,Novi,20,60,5/25/2017
Oven,4630,Falco,Macomb,207,46,10/6/2017
Sill Wanders,4613,Fox,Spring Arbor,41,58,8/1/2017
Karils,4603,Marth,,99,49,10/13/2017
Wild Turkey,4589,Peach,Lansing,91,57,9/27/2017
