Name,Score,Characters,Team,Total Played,Win %,Last Match
Kenpachi,1842,Fox,,23,26,7/31/2017
Smashbay,1842,,,12,33,10/1/2017
RoadApples,1837,,,7,42,4/12/2017
itstospicy,1824,Ice Climbers,,11,27,8/13/2017
DWitt,1823,,,4,50,7/10/2017
Light,1822,,,6,50,6/22/2017
Swine,1818,,,22,22,10/13/2017
Domachu,1816,,,4,50,6/8/2017
Bean,1812,,,33,15,9/9/2017
Jon Jones,1810,Marth,Kalamazoo,44,20,10/10/2017
absynthe,1808,,,19,31,8/11/2017
justmeinabox,1803,,,7,42,5/24/2017
Sleeper,1801,,,28,21,7/31/2017
Bobert,1801,,,4,50,10/6/2017
Ross,1795,,,9,44,5/27/2017
Ladies,1795,Fox,Chelsea,42,28,8/18/2017
Pablo,1794,,,18,22,8/25/2017
Night,1792,,,4,50,9/17/2017
Jecht,1777,,,4,50,10/6/2017
Rocksteady,1776,,,4,50,6/1/2017
J3,1774,,,7,42,6/9/2017
Kroko,1774,Pikachu,,11,27,9/23/2017
Rich eThug Andy,1773,,,4,50,10/12/2017
Kehbob,1771,,,8,50,2/10/2017
Brock,1762,,,10,40,6/15/2017
BTP,1759,,,7,42,1/14/2017
Monstro,1757,,,21,33,10/6/2017
Negat!ve,1746,,,4,50,10/6/2017
cocopebblez,1744,,,10,50,10/6/2017
Goblin,1740,Luigi,,37,21,10/5/2017
KingJames,1734,Marth,,5,60,3/12/2017
Ethan,1730,,,3,33,9/17/2017
UTF-8,1729,,,4,50,4/14/2017
Coleslaw,1720,Captain Falcon,,26,19,5/7/2017
Albin0,1715,,,43,16,10/6/2017
Archer,1713,,,4,50,8/9/2017
Lost,1709,,,11,27,10/11/2017
93,1706,,,4,50,3/30/2017
Stonedog,1705,Falco; Fox,,41,14,10/6/2017
Dwick,1695,,,4,50,7/17/2017
BRANDO,1689,,,4,50,10/6/2017
Respekt?,1685,,,13,30,10/11/2017
Phenopoly,1683,,,4,50,10/6/2017
Little Bucket,1678,,,40,22,10/6/2017
chentai,1675,,,5,60,1/16/2017
Cam,1672,,,4,75,2/25/2017
Savage,1670,Falco,,9,33,4/30/2017
psht-daniel,1662,Samus,,6,33,7/6/2017
Boated,1660,,,5,40,3/11/2017
Joe (END 4),1659,,,3,33,7/10/2017
Shabby,1649,,,24,33,10/6/2017
YogoTheWizard,1638,,,10,40,1/30/2017
TKoodles,1635,,,3,33,8/9/2017
Monroe,1631,Jigglypuff,,23,21,7/12/2017
Spitzey,1630,,,3,33,8/18/2017
Hentai Boy,1623,,,4,50,10/6/2017
Big Mitch,1619,,,9,33,3/17/2017
Waddle,1606,,,7,42,9/28/2017
Caltrip,1602,,,3,33,9/11/2017
Ranch Dubois,1601,,,5,40,4/22/2017
illy,1599,,,8,25,5/17/2017
Soup,1596,Marth,,41,17,8/4/2017
Gorg,1592,,,4,50,10/6/2017
Snowman,1586,,,8,25,10/3/2017
Rebel Scum,1583,,,35,22,10/6/2017
White X6,1581,,,7,42,2/22/2017
dew,1580,,,6,33,6/1/2017
loop,1579,,,3,33,3/22/2017
Exal,1577,,,6,33,4/3/2017
Wartle,1576,Falco,,4,50,8/4/2017
Drop,1575,Samus,Ann Arbor,28,17,10/13/2017
Cart,1575,,,10,40,3/31/2017
dSd,1575,,,6,33,7/20/2017
clickclack,1555,,,8,50,10/6/2017
Inquisition,1554,,,6,33,8/20/2017
royboy,1541,Marth,,12,41,9/5/2017
Jumbo Shrimp,1541,,,49,22,10/6/2017
LeadStar,1530,,,4,50,9/16/2017
Jwebb,1518,,,38,18,10/6/2017
Middleone,1517,,,5,60,3/11/2017
Microwave,1513,,,3,33,10/12/2017
Dog,1488,,,3,33,8/13/2017
Meech,1487,,,7,42,2/22/2017
Nick (Umeme),1487,,,3,33,9/17/2017
No Sleep Falco,1486,,,3,33,8/17/2017
Jam,1486,,,20,30,9/22/2017
Rosilius,1485,,,21,38,3/15/2017
4Frames,1481,,,92,16,10/6/2017
DuBubby,1472,,,4,50,8/9/2017
bobo,1471,,,70,14,10/13/2017
Kayak,1470,,,27,18,10/13/2017
Joker,1469,,,8,25,5/24/2017
Dagobow,1463,,,6,33,3/29/2017
LEMON,1448,,,4,25,4/22/2017
Hatbox367,1447,,,3,33,3/10/2017
Broly,1433,,,3,33,8/24/2017
Young PooBah,1430,,,3,33,6/14/2017
JLidds,1423,,,8,50,2/22/2017
Zap,1404,Falco,,9,33,5/31/2017
mailbox,1391,,,20,20,10/11/2017
C,1390,,,8,37,6/15/2017
Shyguy,1387,,,14,21,8/24/2017
Spirit (TBH),1382,,,3,33,10/6/2017
Kliner,1381,,,22,27,10/6/2017
AdaMaZe,1379,,,6,33,6/26/2017
Scal,1369,,,3,33,10/6/2017
Swiper,1361,,,13,15,10/13/2017
SuperTramp,1359,,,5,60,1/10/2017
denial,1357,,,4,50,5/31/2017
rognut,1354,,,4,50,8/9/2017
chingu,1341,,,3,33,9/5/2017
Good K,1332,,,12,25,8/19/2017
Juicebox,1330,,,23,17,10/6/2017
Soupaface,1327,,,8,25,9/16/2017
Gitchum,1323,,,4,50,10/6/2017
Jackzander,1322,,,3,33,10/3/2017
poup,1313,Fox,,4,50,7/5/2017
Trap Man,1311,,,5,20,9/27/2017
jsmirk,1295,Luigi,,6,33,7/5/2017
Na5ty,1289,Fox,Grass Lake,46,15,8/29/2017
Enhanced,1288,,,18,22,10/6/2017
Moof,1281,,,7,42,2/17/2017
Pinstripe Potoreo,1279,,,3,33,7/24/2017
Dustin,1275,,,3,33,9/14/2017
Ethan47,1271,,,6,16,6/29/2017
MonkBard,1271,,,30,23,10/6/2017
Shmeeges,1269,,,4,50,3/25/2017
Rails,1260,,,7,42,4/29/2017
NANCH,1250,,,3,33,3/23/2017
GarbageDay,1245,,,8,25,9/30/2017
Dizzyshoe,1245,,,8,25,8/19/2017
Oreo,1241,,,4,50,4/2/2017
Bubba,1239,,,3,33,9/17/2017
kenniky,1222,,,8,25,10/3/2017
Bazu Bsaac,1220,,,3,33,10/1/2017
HelpMeHerbDean,1219,,,7,42,10/6/2017
Quail,1214,,,3,33,10/6/2017
Jleg,1214,,,3,33,9/17/2017
Papi,1202,,,6,33,9/23/2017
Flash,1193,,,32,12,8/24/2017
Snalco,1189,,,7,28,2/25/2017
Gobos,1185,Jigglypuff,Chelsea,27,14,6/18/2017
SKRTSKRT,1182,,,6,33,10/6/2017
Burnt Wood,1178,,,10,40,10/13/2017
GGB,1176,,,14,21,6/9/2017
Tattoo,1175,,,2,50,3/11/2017
hotmama-,1145,,,6,33,2/22/2017
CATS,1139,,,3,33,10/6/2017
Green Been,1132,,,6,33,8/4/2017
REKT,1131,,,3,33,3/4/2017
LOG,1130,,,6,33,9/17/2017
Pizza,1128,,,8,25,6/28/2017
Jellocube,1120,,,19,21,10/6/2017
Gammra,1109,,,21,23,5/31/2017
Jopo,1108,Luigi,,28,17,9/5/2017
A_Beverage,1105,,,9,22,6/21/2017
THG,1101,Sheik,,36,22,10/3/2017
Dwhy,1101,,,10,20,10/3/2017
SweatySpaghetti,1099,,,14,21,10/2/2017
Steones,1090,,,4,50,6/21/2017
Demise,1088,,,9,22,8/20/2017
L-ritonez,1081,,,8,25,4/7/2017
Amish,1075,,,3,33,5/10/2017
Hercule,1075,,,9,33,7/25/2017
PCcole,1071,,,3,33,7/6/2017
Honeybadger,1070,,,12,33,6/23/2017
duckling,1064,,,3,33,3/22/2017
White Rice,1059,,,8,25,8/3/2017
mknzy,1059,,,9,11,10/3/2017
Kiki,1055,,,4,50,3/25/2017
Jake,1044,,,20,15,9/10/2017
Captain Ezekiel,1043,,,2,50,10/6/2017
Lodlob,1042,,,23,21,6/28/2017
Dollar Bill,1033,,,11,18,10/6/2017
L-Army,1032,,,3,33,8/10/2017
PSH,1032,,,3,33,6/28/2017
Fad,1031,,,13,23,3/16/2017
Soup Dumplings,1030,Ice Climbers,,47,17,10/13/2017
Void,1022,,,4,50,3/25/2017
Kissy,1022,Falco,,3,33,5/28/2017
dumidiot,1021,,,3,33,7/13/2017
Thyme,1020,,,10,20,3/31/2017
(CA) AKC,1017,,<< Out of region >>,3,33,10/6/2017
Necrojinsei,1009,,,3,33,10/6/2017
(KS) Marthus,1005,,<< Out of region >>,3,33,10/6/2017
someone,995,,,9,22,10/13/2017
Maxo,989,,,5,40,4/22/2017
Wheels,987,,,3,33,10/6/2017
Geass,986,,,4,50,1/4/2017
Colberito,984,,,8,12,10/13/2017
Squilliam Fancyson,980,Falco,,5,60,1/9/2017
RIP Dynamic,978,,,3,33,8/9/2017
Jzee,976,,,8,25,10/6/2017
Peter,973,,,8,25,4/22/2017
Cap'd,963,,,7,14,6/19/2017
cloudy,963,,,3,33,8/17/2017
Nips,957,,,3,33,10/6/2017
BIG WORM!!!!,944,,,3,33,8/24/2017
Maxssiah,943,,,3,33,8/10/2017
JumJum,939,,,6,33,5/20/2017
pkburr,938,,,7,28,4/22/2017
polodad42,938,,,34,14,6/19/2017
Notice,931,,,3,33,9/22/2017
Dash catchup,930,,,3,33,5/25/2017
Friend,929,,,3,33,6/8/2017
Chrono,926,,,10,20,10/5/2017
Fox Diciple 4,925,,,4,50,1/4/2017
HoloSan,915,,,5,20,10/6/2017
quickgame321,914,,,4,50,2/25/2017
BG6,913,,,20,20,10/12/2017
Sid The Squid,911,,,3,33,8/11/2017
Fly,900,,,3,33,7/29/2017
Cuckboi,892,,,3,33,6/5/2017
FieroGT,889,,,6,16,7/25/2017
kjez,889,,,13,23,10/6/2017
Dagobah,879,,,1,100,3/29/2017
Nano,873,,,3,33,5/26/2017
Clam,873,,,13,23,8/18/2017
Snuggleguy,869,,,2,50,5/20/2017
Naw Bae,866,,,4,50,2/17/2017
Cypher,862,,,3,33,8/31/2017
TheHazMan00,861,,,3,33,10/6/2017
Doofalo,842,,,8,25,7/21/2017
Rohan,839,,,3,33,8/9/2017
b4g3l,828,,,22,18,6/21/2017
SCARLET ROSE,825,,,4,25,4/22/2017
Tommy Bahama,821,,,3,33,8/17/2017
ez,813,,,10,20,8/31/2017
BEEL,808,Captain Falcon,,27,18,10/6/2017
Trashboat,806,,,3,33,10/5/2017
Plus_EV,804,,,3,33,10/5/2017
Sudok,804,,,5,20,9/17/2017
Finesse,803,Falco,,7,28,10/6/2017
THD,797,,,4,50,6/23/2017
Hetamaaj,796,,,23,13,10/13/2017
Ravioli,796,,,6,33,8/11/2017
Cheesesteak,796,,,26,15,7/7/2017
Mr. Happy,794,,,11,9,9/28/2017
Sully's Slave,788,,,6,33,4/7/2017
Adam (Summer of Smash),787,,,2,50,8/5/2017
Smio,787,,,4,50,7/28/2017
Rickter_Scale,774,,,3,33,10/6/2017
JareBear,766,,,3,33,6/29/2017
Pepperjack,765,,,7,28,7/18/2017
Slightly Below Mediocre Falcon,760,,,7,42,7/12/2017
IcyKardinal,752,,,4,50,2/27/2017
Chinstrap J,749,,,4,50,3/30/2017
tuck,749,,,20,10,8/19/2017
Slightly Below Mediocore Falco,745,,,3,33,8/18/2017
Haig0,742,,,3,33,10/6/2017
Demoraler,742,,,3,33,10/6/2017
superbagel,739,Dr. Mario,Lansing,25,16,8/7/2017
Harkules,722,,,6,16,10/6/2017
Moocavo,721,,,6,33,9/5/2017
drill,715,,,11,18,10/6/2017
Father Time,713,,,7,28,6/15/2017
myaah,711,,,8,25,7/6/2017
dvg,710,,,9,22,10/13/2017
LumpyHead,708,,,2,50,7/10/2017
Weird,704,,,12,16,10/12/2017
Jerrytt,701,,,3,33,9/5/2017
Cycl,690,,,5,20,7/29/2017
Stink,687,,,3,33,7/17/2017
Crumb,684,,,3,33,9/1/2017
Senahue,682,,,5,20,4/24/2017
No country for old gam,681,,,4,50,4/13/2017
Motown Clown,668,,,3,33,7/17/2017
(OH) StraightUpEGG,659,,<< Out of region >>,3,33,10/6/2017
Rolls,651,,,5,20,10/13/2017
Kento,649,,,4,50,2/3/2017
Mayme,649,,,3,33,6/22/2017
The_Gut_Smasher,648,,,8,12,8/3/2017
pineapple,640,,,7,14,8/19/2017
OBC,628,,,3,33,7/13/2017
HYDRAnt,626,,,3,33,7/10/2017
Doc,613,,,5,20,9/28/2017
Vinje,607,Captain Falcon,,11,27,9/22/2017
HBK,604,,,6,33,7/12/2017
BOFA,604,,,5,20,5/18/2017
Sophy,594,Sheik,,39,12,8/14/2017
Skvarek,592,,,34,17,5/31/2017
Drew,591,,,5,40,1/14/2017
Mister Donut,591,,,3,33,3/11/2017
Geo,587,,,4,50,2/8/2017
Yung Mu,586,,,6,33,1/25/2017
IN33DD3MRIMZ,576,,,3,33,6/29/2017
Shaggy,574,,,8,25,6/29/2017
WenDe,572,,,4,50,1/14/2017
Honeydew,570,Fox,,6,33,4/3/2017
QuiteSmashing,568,,,12,16,9/26/2017
Super Mario Sunshine,566,,,12,16,9/16/2017
Kam,565,,,5,20,5/18/2017
Zaps,565,,,14,28,10/6/2017
Pseudo,558,,,7,14,10/5/2017
Caboose,551,,,8,25,3/10/2017
Ralts,550,,,6,16,10/13/2017
Pittenturf,543,,,3,33,5/27/2017
OkaGengar,541,,,9,22,8/1/2017
YoungMoist,535,,,3,33,7/7/2017
Pengu,516,,,3,33,6/27/2017
The Walrus,511,,,4,25,6/21/2017
uGuize,511,,,3,33,10/6/2017
SuperDong,509,,,3,66,3/4/2017
Paulsucks,508,,,1,100,4/12/2017
Latte,499,,,5,20,9/14/2017
Trick Guy,498,,,5,40,3/28/2017
Collins Ozor,495,,,3,33,4/2/2017
KSL,490,,,5,20,9/5/2017
Commons,490,,,10,30,10/1/2017
FALF,485,,,17,17,5/6/2017
Yep,483,,,4,50,1/14/2017
Michael,483,,,3,33,3/6/2017
NotTryDude,483,,,3,33,5/31/2017
Weo Weo Jax,479,,,4,50,1/14/2017
Wonki,478,,,3,33,8/14/2017
Kash Kuk,477,,,6,33,1/25/2017
NTF,475,Falco,Grass Lake,19,15,7/11/2017
VincePmusic,471,,,3,33,5/27/2017
xj00shx,468,,,3,33,4/2/2017
Father,464,,,3,33,6/27/2017
Sinister,455,,,5,20,9/5/2017
Keanu Reads,451,,,7,28,3/1/2017
Datnero,448,Falco,,8,25,10/6/2017
I R NUB,448,,,7,28,10/6/2017
unkn0wnKAMI,430,,,3,33,4/30/2017
LW13,425,,,8,37,1/9/2017
The Better Calories,413,,,4,50,4/27/2017
Tiptup64,409,,,4,25,2/25/2017
Goofis,400,,,4,25,3/28/2017
Blue Ranger,399,,,6,16,7/2/2017
Jayhawker,388,,,6,33,2/3/2017
T-Hen,375,,,6,33,3/22/2017
Vash,371,Marth,Grass Lake,3,33,3/5/2017
Dob,370,,,9,11,10/13/2017
Milf,348,,,3,33,5/26/2017
cpw,346,,,3,33,6/1/2017
AI,346,,,12,16,5/1/2017
Tinyboss,342,,,4,50,2/25/2017
Petruska,341,,,5,20,4/4/2017
JT,336,Fox,Lansing,32,3,9/28/2017
Aki,334,,,3,33,5/31/2017
Field,325,,,3,33,8/20/2017
DI Moonpuncher,319,Dr. Mario,,17,11,6/28/2017
greenwing147,310,Captain Falcon,,5,20,2/22/2017
MJFrog,308,,,3,33,9/5/2017
Ryan (Umeme 62 am),287,,,4,50,6/7/2017
FreddieWhip,287,,,4,25,5/25/2017
charblaze,286,,,16,12,4/22/2017
tusk,285,,,5,20,9/5/2017
BadoofGuy,280,,,15,20,5/12/2017
Dicky,280,,,4,50,1/5/2017
Caucasian Asian,271,,,7,14,8/18/2017
50 Cal,270,,,4,50,1/22/2017
sovereign,268,,,5,20,10/6/2017
VerteX,267,Marth; Luigi,,4,50,3/5/2017
Jellyfish,263,,,6,16,10/13/2017
Squintz,256,,,7,14,9/14/2017
Sorry,255,,,11,18,6/9/2017
IW2D,248,,,3,33,4/30/2017
jfgameboy,246,,,2,0,10/13/2017
Zimmer,246,,,6,33,10/6/2017
Supaface,241,,,5,20,9/23/2017
ShuttleBus,239,,,2,0,10/6/2017
Koopi,236,,,4,25,2/25/2017
Tom (Odyssey Revival),236,,,3,33,3/28/2017
TomatoSnorlax,235,,,2,0,10/12/2017
Earth Shit and Fire,232,,,3,33,5/27/2017
GNARLBARD,217,,,3,33,3/23/2017
Nerd,210,,,3,33,5/31/2017
Brutal,207,,,6,33,2/22/2017
Leek,203,,,3,33,6/8/2017
Humblebee,200,,,3,33,6/21/2017
CrystalOnix,191,,,2,0,9/23/2017
Stew,189,,,7,14,4/17/2017
Jasper (Pool House),187,,,7,14,8/10/2017
HappyMeals,186,,,4,0,8/18/2017
Horcrux,173,,,6,33,2/22/2017
Raspberry,169,,,4,25,2/25/2017
Xodin,168,,,2,0,10/6/2017
Geos,152,,,6,0,9/15/2017
Wind,150,,,9,33,10/6/2017
Br4ndon,144,,,9,11,7/13/2017
Sniph,141,,,6,33,2/22/2017
the noon,136,,,5,20,4/30/2017
Kedan,133,,,2,0,10/12/2017
Yons,120,,,3,33,4/11/2017
Sully,114,,,18,16,4/7/2017
Alt,112,,,14,14,9/25/2017
KennyKarp,107,,,9,11,7/31/2017
Gumpy,101,,,3,33,6/22/2017
John (Endeavor),97,,,2,0,9/25/2017
Hot Karl,94,,,4,25,6/8/2017
Rosen,94,,,5,20,8/9/2017
Smalls,83,Ice Climbers,,12,16,10/10/2017
Speed Freq,82,,,4,50,1/22/2017
Malo,81,,,3,33,2/17/2017
Saltine,78,Falco,,3,33,9/21/2017
Zashi,74,,,4,50,1/9/2017
Atlantic,64,Samus,Hillsdale,5,40,3/12/2017
Albert,63,,,3,33,1/14/2017
Chromidor,63,,,3,33,5/10/2017
SiND_KILLA,62,,,3,33,4/2/2017
Ben (Umeme 63),58,,,5,20,6/14/2017
Highrise22,58,,,2,0,9/21/2017
Roku,47,,,6,33,2/22/2017
Dizcofunk,47,,,41,9,3/22/2017
Kyyyyyyyyyle,44,,,3,33,4/2/2017
Chicken Hat,43,,,2,0,10/3/2017
Atwood,42,,,3,33,6/8/2017
Str8Trippin,29,,,13,7,10/6/2017
Wham!,24,,,7,28,1/7/2017
WhooWeee,22,,,1,0,10/12/2017
Casper,21,,,7,14,10/6/2017
Dom,19,,,5,20,10/6/2017
Tobaskoh,19,,,6,0,9/28/2017
Mr.Hatsune,14,,,2,0,9/8/2017
Gr0g,12,Falco,,5,20,5/24/2017
Hi,10,,,5,20,7/27/2017
PsychoWaffle,5,,,4,50,1/14/2017
Equal,0,,,4,50,2/13/2017
XC70,0,,,1,0,10/13/2017
NCR0,0,,,3,33,1/14/2017
HairBear,0,,,2,0,9/14/2017
Rosco,0,,,2,0,9/14/2017
Neato,0,,,3,0,10/13/2017
aaronkaa,0,,,11,18,10/13/2017
The Fifth,0,,,3,0,10/13/2017
Hot Daniel,0,,,7,14,10/13/2017
Bologna,0,,,2,0,10/12/2017
KoolaidCrusade,0,,,2,0,10/12/2017
ravedave,0,,,5,20,2/11/2017
juiceman,0,,,6,33,3/11/2017
EN,0,,,3,33,2/8/2017
Captain Fresh,0,,,3,33,3/9/2017
daddy,0,,,3,33,6/8/2017
Sn0wblack,0,,,3,33,6/9/2017
Lord Roxas,0,,,6,16,6/8/2017
Energy,0,,,4,50,1/9/2017
Mocha,0,,,5,20,8/9/2017
LastNameBonk,0,,,5,20,6/7/2017
Coupon,0,,,3,33,1/14/2017
Bushels,0,,,3,33,1/13/2017
Meghna,0,,,3,33,1/9/2017
It's Cha Boi,0,,,3,33,2/11/2017
XP,0,,,3,33,2/2/2017
WOLF,0,,,2,50,4/6/2017
Protein+,0,,,3,33,3/4/2017
COP CRUSHER,0,,,3,33,1/4/2017
Dookie,0,,,6,33,1/23/2017
Beets,0,,,3,33,1/9/2017
Pyr0,0,,,3,33,2/3/2017
Sinon,0,,,3,33,2/11/2017
Silverwind,0,,,3,33,1/14/2017
Hot Turkey Samus,0,,,3,33,1/22/2017
Riley,0,,,3,33,1/1/2017
Righteous,0,,,3,33,3/10/2017
Eddie Ozor,0,,,3,33,4/2/2017
Valentine,0,Sheik,,3,33,1/11/2017
Rope Gang,0,,,4,25,3/28/2017
Croob,0,Sheik,,5,20,3/6/2017
Dr. Game & Watch,0,,,3,33,1/28/2017
Kyle,0,,,2,50,1/1/2017
FLOKI,0,,,3,33,3/23/2017
Mattybfor3,0,,,3,33,1/14/2017
Mainsir,0,,,3,33,3/25/2017
Sin,0,,,3,33,1/10/2017
Guz,0,,,4,25,1/15/2017
Right In The Clownhole,0,,,6,16,1/29/2017
Mike,0,,,6,33,2/13/2017
Houndfall,0,,,3,33,3/25/2017
Alex,0,,,3,33,1/1/2017
Marthur,0,,,5,20,4/3/2017
Stelmo,0,,,3,33,1/22/2017
_Boots,0,,,3,33,3/11/2017
Pizzabear,0,,,7,14,4/12/2017
4thwrldmrshl,0,,,6,16,1/7/2017
Boero,0,,,8,25,3/6/2017
Ethi,0,,,5,20,4/20/2017
DrewGod420,0,,,10,10,6/3/2017
HummusLover69,0,Fox,,5,20,1/14/2017
Fuji,0,,,5,20,4/17/2017
Wham,0,,,5,20,3/11/2017
UrboyGraham,0,,,4,25,3/21/2017
ELIS,0,,,6,16,2/25/2017
gdin,0,,,5,20,1/9/2017
cheers,0,,,3,33,7/6/2017
sTooPid TaRgeT,0,Captain Falcon; Marth,,5,20,2/18/2017
QwertyPotato42,0,,,5,20,1/23/2017
Flux,0,,,5,20,3/27/2017
Peco,0,,,5,20,1/25/2017
Fat_Metroid,0,Ganondorf,Hillsdale,5,20,3/12/2017
Byrd,0,,,4,25,3/31/2017
mit,0,,,5,20,3/29/2017
Red Herring,0,,,4,25,3/28/2017
helpme,0,Falco,,8,12,7/5/2017
HINKLEBURG,0,,,3,33,1/28/2017
Wario's Abs,0,Peach,,3,33,1/28/2017
Helm,0,,,3,0,6/28/2017
Rin,0,,,4,25,2/8/2017
Beezy,0,,,2,0,3/22/2017
CheepChip,0,,,2,0,5/1/2017
Beverage,0,,,10,20,4/12/2017
SiN,0,,,2,0,1/16/2017
Buster,0,,,2,0,7/11/2017
Tastybiscuits25,0,,,4,0,2/25/2017
Profrogo,0,,,2,0,5/16/2017
Shat,0,,,2,0,7/12/2017
Coach,0,,Macomb,2,0,6/29/2017
Finite Numbers,0,,,2,0,7/6/2017
The Bows,0,,,2,0,7/10/2017
Jerry++,0,,,2,0,7/27/2017
dody,0,,,2,0,3/16/2017
Donebar,0,,,2,0,8/17/2017
Milkboy,0,,,2,0,8/24/2017
Josamabinladen,0,,,2,0,8/31/2017
Artisan,0,,,2,0,5/10/2017
Freak,0,,,2,0,6/30/2017
Robjoe,0,,,2,0,5/1/2017
Juice,0,,,2,0,5/10/2017
Mackle,0,,,2,0,3/22/2017
Zyth,0,,,2,0,4/14/2017
Spicy Boi,0,,,2,0,8/10/2017
JayJayJay,0,,,5,20,8/4/2017
Michigan's Finest Zelda Main,0,,,2,0,7/27/2017
Hazards,0,,,5,20,3/15/2017
Rattastic,0,,,2,0,3/20/2017
Austin (Umeme),0,,,2,0,6/28/2017
DATA_EXPUNGED,0,Marth,,11,9,6/21/2017
Lustrick,0,,,2,0,1/14/2017
Jud,0,,,2,0,8/7/2017
El Scorcho,0,,,2,0,8/3/2017
cory,0,,,3,0,4/2/2017
bossbaby,0,,,2,0,7/10/2017
Cujo,0,,,4,0,5/28/2017
WP3,0,,,4,0,5/18/2017
Unexpired Adam,0,,,2,0,8/5/2017
YoloShag4206969,0,,,2,0,6/1/2017
Brian,0,,,2,0,8/18/2017
BDN,0,,,2,0,7/18/2017
Tasha,0,Fox,,2,0,4/3/2017
Blue,0,,,2,0,5/9/2017
CPU,0,,,2,0,5/31/2017
A Falco Main,0,,,2,0,5/24/2017
Ang3la,0,,Macomb,2,0,6/29/2017
Mr. Fahrenheit,0,Marth,,2,0,5/10/2017
Scandal,0,,,2,0,8/4/2017
Lambo,0,,,2,0,7/6/2017
KroKorona,0,,,3,0,8/5/2017
Damon,0,,,1,0,5/20/2017
Mozzarella,0,,,2,0,8/4/2017
Simo,0,,,2,0,9/5/2017
Amobia,0,,,2,0,6/23/2017
Rage,0,,,1,0,4/29/2017
Uncle Phil,0,,,2,0,5/9/2017
Fightmilk,0,,,2,0,4/26/2017
Jubba,0,,,2,0,8/28/2017
Mobius,0,,,2,0,7/12/2017
Sheep (West MI),0,,,2,0,8/14/2017
Lunch,0,,,11,9,8/10/2017
CVJ,0,,,2,0,3/1/2017
2HARD,0,,,5,0,5/4/2017
Lepotatochip,0,,,2,0,1/16/2017
FullMetal,0,,,2,0,3/20/2017
Link7everlord,0,,,2,0,7/10/2017
Smino,0,,,2,0,8/11/2017
Curry,0,,,2,0,2/6/2017
Model,0,,,4,0,7/27/2017
AceIdiot,0,,,6,16,6/14/2017
Walterlew,0,,,2,0,3/11/2017
Bison,0,,,1,0,6/8/2017
moby,0,,,2,0,1/16/2017
Best Bowser In Ohio,0,,,2,0,6/21/2017
Xander,0,,,3,0,6/22/2017
Nick (Endeavour),0,,,2,0,7/3/2017
DocBrown,0,,,1,0,6/9/2017
Left,0,,,2,0,1/25/2017
Hot Mama,0,,,2,0,6/19/2017
Itches,0,Young Link,,3,0,5/6/2017
Doc B,0,,,2,0,6/22/2017
1Girl2Cups,0,,,2,0,5/17/2017
A homeless man,0,,,2,0,5/3/2017
Elm,0,,,4,0,4/12/2017
L.O.B.,0,,,2,0,5/18/2017
Deputy,0,,,12,8,4/24/2017
Theodore,0,Sheik,,30,6,6/21/2017
Nolann,0,,,2,0,4/2/2017
RaGekaczynski,0,,,4,0,2/25/2017
Loaf,0,,,2,0,9/21/2017
Brenden Sucks,0,,,2,0,6/7/2017
Pitrick,0,Luigi,Lansing,2,0,9/21/2017
Girl,0,,,1,0,8/9/2017
Bodankles,0,,,6,16,10/6/2017
Crazy Ninja,0,,,2,0,7/17/2017
Dan,0,,,2,0,4/9/2017
Eli,0,,,2,0,3/6/2017
Skelly,0,,,2,0,9/17/2017
Clutch Cargo,0,,,2,0,8/4/2017
David (Endeavor 10),0,,,2,0,7/31/2017
Rez,0,,,2,0,1/18/2017
Sly,0,,,2,0,2/11/2017
lil mayo,0,,,5,0,6/3/2017
MayChan,0,,,2,0,8/16/2017
C-Stick,0,,,2,0,6/15/2017
Frog,0,,,8,25,3/15/2017
Odinson,0,Ganondorf,,2,0,6/28/2017
meme,0,,,4,0,3/6/2017
NormalPunch,0,,,2,0,2/22/2017
Wut,0,,,2,0,10/1/2017
buildme,0,,,2,0,4/2/2017
Douglas Vortex,0,,Macomb,2,0,6/29/2017
Jin,0,,,2,0,4/26/2017
The Real Elmo,0,,,4,0,4/22/2017
Rhythmz,0,,,4,0,9/21/2017
jstuts,0,,,2,0,1/25/2017
Benz,0,,,2,0,5/22/2017
Froppy,0,,,2,0,7/10/2017
StinkyDad,0,,,2,0,5/3/2017
FUXY,0,,,2,0,5/10/2017
Poppy,0,,,2,0,9/30/2017
Guck,0,,,2,0,7/29/2017
Shmoe,0,Fox,,2,0,4/12/2017
Vizn,0,,,16,6,10/6/2017
Abjar,0,,,2,0,6/15/2017
Beb,0,,,2,0,7/20/2017
Babs,0,,,22,4,10/13/2017
Christian,0,,,5,20,2/13/2017
Shruggs,0,,,2,0,8/24/2017
P.Nut,0,,,2,0,8/10/2017
NA | Chloride,0,,,2,0,3/3/2017
Ryann,0,,,6,0,10/12/2017
vequ,0,,,2,0,8/31/2017
Accursed mite 313,0,,,2,0,4/6/2017
UnderTale2005,0,,,1,0,6/15/2017
Woodrow14,0,,,2,0,6/15/2017
JB Smoothie,0,,,2,0,9/14/2017
MLG,0,,,2,0,2/20/2017
Leo,0,,,2,0,2/20/2017
Bob%,0,,,2,0,2/1/2017
prest0,0,,,2,0,1/14/2017
Fergus,0,,,2,0,9/22/2017
Cree,0,,,2,0,7/17/2017
Superfly,0,,,4,0,5/12/2017
SauceSage,0,,,5,0,5/20/2017
